列名,词,出现次数
Project Name,18.12,6799
Package Name,io.anuke.mindustry.content,764
Package Name,io.anuke.mindustry.content.fx,689
Package Name,io.anuke.mindustry.content.blocks,549
Package Name,io.anuke.mindustry.ui.dialogs,543
Package Name,io.anuke.mindustry.content.bullets,400
Type Name,Recipes,354
Type Name,BlockFx,215
Type Name,TurretBullets,164
Type Name,ShootFx,141
Type Name,TurretBlocks,132
Code Smell,Magic Number,5133
Code Smell,Long Statement,499
Code Smell,Unutilized Abstraction,259
Code Smell,Deficient Encapsulation,217
Code Smell,Complex Conditional,203
Method Name,load,2164
Method Name,update,406
Method Name,draw,396
Method Name,setup,172
Method Name,build,142
