列名,词,出现次数
Project Name,20.6,9654
Package Name,mindustry.content,1674
Package Name,mindustry.ui.dialogs,775
Package Name,mindustry.graphics,579
Package Name,mindustry.world.blocks.distribution,563
Package Name,mindustry.entities.comp,408
Type Name,Blocks,940
Type Name,Bullets,322
Type Name,UnitTypes,189
Type Name,LoadRenderer,159
Type Name,TODOPlanetGenerator,117
Code Smell,Magic Number,6949
Code Smell,Long Statement,815
Code Smell,Unutilized Abstraction,499
Code Smell,Complex Conditional,365
Code Smell,Deficient Encapsulation,333
Method Name,load,1601
Method Name,draw,896
Method Name,updateTile,311
Method Name,update,259
Method Name,setup,239
