列名,词,出现次数
Project Name,21.9,14381
Package Name,mindustry.content,2915
Package Name,mindustry.ui.dialogs,1167
Package Name,mindustry.graphics,775
Package Name,mindustry.world.blocks.distribution,720
Package Name,mindustry.entities.comp,518
Type Name,UnitTypes,1205
Type Name,Blocks,1191
Type Name,Bullets,287
Type Name,SerpuloPlanetGenerator,246
Type Name,Waves,197
Code Smell,Magic Number,10373
Code Smell,Long Statement,1146
Code Smell,Unutilized Abstraction,644
Code Smell,Complex Conditional,644
Code Smell,Deficient Encapsulation,535
Method Name,load,2908
Method Name,draw,1220
Method Name,updateTile,403
Method Name,generate,363
Method Name,setup,348
