列名,词,出现次数
Project Name,20.9,11072
Package Name,mindustry.content,2221
Package Name,mindustry.ui.dialogs,811
Package Name,mindustry.world.blocks.distribution,605
Package Name,mindustry.graphics,584
Package Name,mindustry.entities.comp,481
Type Name,Blocks,1024
Type Name,UnitTypes,645
Type Name,Bullets,252
Type Name,LoadRenderer,159
Type Name,Weathers,130
Code Smell,Magic Number,8031
Code Smell,Long Statement,883
Code Smell,Unutilized Abstraction,545
Code Smell,Complex Conditional,419
Code Smell,Deficient Encapsulation,406
Method Name,load,2149
Method Name,draw,924
Method Name,updateTile,331
Method Name,update,278
Method Name,build,275
